name,rating,vicinity,total_ratings,formatted_address,website,phone_number,opening_hours,reviews,latitude,longitude,more_kids_friendly_weighted_sentiment,proche_park,kids_friendly_sentiment,kids_mentions_count,zip_code,unique_id,kids_friendly
The Family,4.5,"7 Rue La Fayette, Paris",667,"7 Rue La Fayette, 75009 Paris, France",https://www.thefamilyrestaurant.fr/,01 42 80 03 54,"['Monday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 11:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20095:00\u202fPM']","i visited ""the family"" restaurant with my family and was delighted by the experience. from the moment we entered, we were warmly welcomed by a big, fluffy teddy bear holding the menu written on a charming chalkboard. this adorable touch instantly made us feel at home.
the food was well presented, with generous portions that were just right. most importantly, the taste did not disappoint. each dish was flavorful and satisfying, making our dining experience truly enjoyable. ""the family"" restaurant certainly lives up to its name, providing cozy and inviting atmosphere perfect for a family outing.; so i google a place to have a reasonable steak, so many great reviews about this place and i need to add mine as well. the service was fantastic, spoken english, had an english menu on a chalkboard which is pretty awesome and check out this food in the pictures. i can see why people come back to this place for sure. well done, bravo!!! 👍🍻👏👏👏

both deviled eggs salad and steak were 👍👍👍; felix was the best waiter!! super attentive, very funny and so kind!! made great wine recommendations and the food was phenomenal! highly recommend stopping by the family on your next trip to paris!; nice staffs, even though i don't speak french.
reasonable price. tasty food.
the onion soup was a bit salty.
feeling full and no room to order dessert.
happy dinner in french!; the best linguine i have ever had.  the chorizo made it perfect. fantastic service. only in paris three nights and ate there twice because it was so good. the rest of my family had the steak and they all raved about that too.",48.8735793,2.3347167,0.3395430194805194,True,0.3772700216450216,4,75009,The_75009_0,True
Bouillon Chartier Grands Boulevards,4.1,"7 Rue du Faubourg Montmartre, Paris",22968,"7 Rue du Faubourg Montmartre, 75009 Paris, France",http://www.bouillon-chartier.com/,01 47 70 86 29,"['Monday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 11:30\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 11:30\u202fAM\u2009–\u200912:00\u202fAM']","going to a bouillon is always a good idea but this one was something else!
the place is gorgeous, it keeps all of its charm while being cozy. the food was very well prepared, savoury and with a nice presentation and big portions.
the waiters are professional, super nice and fast, no need to wait for the food.
great discovery!; looks can be deceiving! this restaurant boasts a high google maps rating (4.2-4.3), possibly due to its historical significance, but don't let that fool you. the food quality was a major disappointment. the french fries tasted like they'd been reheated multiple times, and the meat was simply inedible. sadly, i cannot recommend this place based on my experience.; the fastest serving of food i ever had! incredible! it tasted pretty good, and the prices were very cheap. the service is quick and efficient. one downside- other tables are very close yours - so it’s a bit “cozy”

i’d definitely recommend this place.

here's a polished version of your new review:

---

the fastest serving of food! incredible! it tasted pretty good, and the prices were very cheap. the service is quick and efficient. one downside is the seating; people are so close that you're practically at the same table. despite that, this place is worth recommending.; i checked google for restaurant near me, and found this place with over 22k reviews in google, and have to try it.  i have never seen any place with so many reviews!  then i found out this is a restaurant with hundreds years of history, with very reasonable price.  we tried three appetizers, two main dishes, two desserts, and coffee, and happy with all the food we tried.  the waiter is very efficient, he wrote the order and calculated the check total on the table cover paper which is very special.  we are lucky to find this special place.; be ready to be in queue. we went there on monday evening but we had to wait for 30 minutes to get the table, they have only walking in system, not table booking in prior. the system was quite intriguing. the food was great with an amazing service. every thing is so quick. the ambiance is amazing. the cost is worth too. must try restaurant as it has started from 1968.",48.87193329999999,2.3430535,0.0,True,0.0,0,75009,Boui_75009_1,False
Upper Café Les Halles,3.9,"66 Rue des Lombards, Paris",1035,"66 Rue des Lombards, 75001 Paris, France",http://uppercafe-leshalles.fr/fr,09 74 64 06 13,"['Monday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Tuesday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Wednesday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u20092:00\u202fAM']","i was sitting with my friends and the waiter (a short, bald man)was extremely disrespectful. he told me to leave if i didn’t order something, even though my two friends were already drinking and consuming. i’ve never encountered such poor service in my life. very disappointed.; i am in a split mind about the place. the location is ideal, at the door of les halles,and the menu looked absolutely perfect, with real fish and chips, and special burgers.  however the food was not as good as it looked, and the one waiter, although very efficient,  was a bit loud and vulgar........; we ordered 2 salads and 2 cocktails, they were fresh and tasty!; the manager is so mean !! i will never come back again.
first, at 15 pm they stopped hot beverage.
then when asking to put the tv sound for a can match, at first he doesn't even want to answer because as he said he didn't start working yet... and after he said that they put sound only for france and psg matches 😏; the staff and overall service were ok, but fish and chips was mediocre with its not crunchy at all coating and unseasoned fish.",48.85999899999999,2.3474425,0.0,True,0.0,0,75001,Uppe_75001_2,False
Restaurant Loulou Paris,4.5,"90 Boulevard Saint-Germain, Paris",6772,"90 Bd Saint-Germain, 75005 Paris, France",http://www.louloufriendlydiner.com/,01 46 34 86 64,"['Monday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 8:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fAM']","i loved the place. the atmosphere is pretty cool, modern design, lovely music on speakers, friendly staff and wide choice of interesting breakfasts and brunches. very interesting warm drinks like the gold milk,  pink and blue latte, will come back to try them out! it’s a little busy during lunch time so if you really care, i would suggest to make a reservation.; delicious meal and fun atmosphere! great gluten free options. my iced matcha was perfect,  hardly sweetened.  the gf club hit the spot, and the fries were crisped to perfection. my husband loved his buddha bowl. friendly and patient service!; very demure and very cutesy restaurant. the food was good and service was quick, nice staff. came here for a brunch style breakfast, can highly recommend the avo-toast! decently sized portions.
easy payment with their qr-code.; little aesthetic place here and the food was also really good, but just that it was cold.

club sandwich - my brother is not usually a fan of club sandwich, but whatever they did here actually was good! he was actually quite impressed by it. only thing is that it was fairly cold.

chicken parmesan - really delicious! not greasy and the tomato sauce is quite flavorful. perfect amount of cheese as well. i don't usually have a chicken parmesan because usually greasy and then the tomato sauce just gets too strong for me but actually enjoyed this one.; i am gluten free and finding somewhere to eat in paris is not simple. this place had gluten free options (including pastries!) and my meal was delicious. i recommend the avocado toast. perfect poached eggs.  the staff were very kind and their english was excellent. the vibe of the place is great too. thoroughly enjoyed it.",48.8512011,2.3448571,0.0,True,0.0,0,75005,Rest_75005_3,False
Café de la Régence,4.3,"167 Rue Saint-Honoré, Paris",3119,"167 Rue Saint-Honoré, 75001 Paris, France",http://www.cafedelaregence.fr/,01 42 60 40 11,"['Monday: 7:00\u202fAM\u2009–\u20091:30\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u20091:30\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u20091:30\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u20091:30\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u20091:30\u202fAM', 'Saturday: 7:00\u202fAM\u2009–\u20091:30\u202fAM', 'Sunday: 7:00\u202fAM\u2009–\u20091:30\u202fAM']","the food was good…especially the cream brûlée is a must order for dessert. we sit out side,the atmosphere was great. must say the staff are very nice and gentle. they are super busy, but never show attitude to  tourist even at the peak time. i’m appreciated it  and we had a lovely lunch time there before visit the museum. thank you!; we came here for lunch, and the food was fantastic!

highly recommend the duck breast and the beef tartar, both were very well prepared! the tartar was well seasoned, and the duck breast was cooked to perfection!

shout out to the staff at regence - we were in a rush and only had one hour for lunch. the staff was able to server all food and drinks in under one hour! we enjoyed our french lunch very much and wished there was more time for us to have a dessert.

the entrees plus tips came to be around €70. ever reasonably priced in paris!

come and have a delicious meal!; i came here for lunch and was promptly seated. since it was a nice sunny day, i opted for the outdoor patio, which had plenty of seating, and the servers were almost always available. i had a simple penne pasta with tomato sauce and parmesan—it was decent, though nothing particularly standout. the salmon poke bowl, ordered without rice, had fresh and flavorful salmon. overall, it’s a great spot for a quick bite, especially for lunch!; we were a little hungry at night, so we stopped by a restaurant near the hotel. the staff was so friendly and the food was so delicious that we ended up ordering three dishes late at night. it’s a great place to have a drink while spending the night in paris because it’s open late. the escargot and duck dish were really good.; i ordered tartare and it was my first time eating fresh meat. i’m not used to but i won’t say it wasn’t great. i also ordered soup as well and i liked it. the service was great and i also like the restaurant’s decoration.",48.8635668,2.334513,0.0,True,0.0,0,75001,Café_75001_4,False
Restaurant Martin Paris,4.5,"40 bis Rue René Boulanger, Paris",346,"40 bis Rue René Boulanger, 75010 Paris, France",https://www.restaurantmartinparis.com/fr/,01 71 18 38 88,"['Monday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u200910:30\u202fPM', 'Saturday: 7:00\u2009–\u200911:00\u202fAM, 12:00\u2009–\u20093:30\u202fPM, 6:30\u2009–\u200911:30\u202fPM', 'Sunday: 7:00\u2009–\u200911:00\u202fAM, 12:00\u2009–\u20093:30\u202fPM, 6:30\u2009–\u200911:30\u202fPM']","amazing brunch! lovely hidden garden patio.

they offer great smoothies, salty dishes such as avocado toast or egg muffin as well as sweets like cake or pancakes.

free parking and fair prices!
highly recommend checking it out.; doesn't look like much from the outside (barely visible from the street) or the inside (generic fancy hotel bar/restaurant), but highly recommended. great service and a delicious three course dinner of fine french cuisine for a reasonable price.; went there for a brunch, we think we found a little gem in the heart of paris. the garden patio is very peaceful, you could forget you are in the center of paris. the place / hotel is  very well decorated. food-wise, the brunch menu is simple bit everything was very tasty,  especially the black fish burger. only downside, service was very slow.; decent restaurant, well decorated, kinda slow service, once i had to wait over 30 minutes for a burger and place wasn’t exactly crowded…; food was really disappointing. only fixed menus and the meals were not great. my meat was no tender and had barely any potato mash. the fish my partner had was tasteless with a nutty sauce which was not good.

there was a comedy show that started mid evening in the hallway.

not good for romance, not good for food. nice terrace. staff were very nice.",48.8685045,2.3608988,0.0,True,0.0,0,75010,Rest_75010_5,False
Maison Maison,4.2,"63 voie Georges Pompidou, Dans l'escalier face au, 16 Quai du Louvre, Paris",1242,"63 voie Georges Pompidou, Dans l'escalier face au, 16 Quai du Louvre, 75001 Paris, France",http://www.maisonmaison.fr/,09 67 82 07 32,"['Monday: 4:00\u2009–\u200911:00\u202fPM', 'Tuesday: 12:00\u2009–\u200911:00\u202fPM', 'Wednesday: 12:00\u2009–\u200911:00\u202fPM', 'Thursday: 12:00\u2009–\u200911:00\u202fPM', 'Friday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u200912:00\u202fAM']","a wonderful little spot tucked on the side of the siene. an amazing atmosphere, the food is incredible, and the staff is super friendly. this is our second time coming here and we will return again next time we’re back in paris! just the best!; just coming to the end of a week in paris for the olympics and this was the best place we went for food on the entire trip!

we got 4 plates between two people and it was very filling, the food was of the highest quality (the tuna tataki was my personal favourite) and the service was excellent. the view of the river and the paris skyline was the icing on the cake.

recommend!; splendid place by the river. you can see the eiffel tower, have a coffee or drink and enjoy the people walking past. atmosphere is so nice!; i had longer layover in paris, founds this cute place on the seine. no regrets 😄
good snack, wine, view. the staff is helpful, genuine smiling.
you can't see eiffel tower perfectly, good enough for me for the amount of time i had.
recomand if you are in the neighborhood and want to unwind for a bit; a find whilst walking along the seine. what’s not to love about a glass of rose by the river and friendly helpful staff. have come back each visit and will try the food next time. drank by the riverside this time - no seats available, portable plastic ice bucket 💕",48.8584618,2.3413782,0.0,True,0.0,0,75001,Mais_75001_6,False
Le Village,4.3,"25 Rue Royale, Paris",1739,"25 Rue Royale, 75008 Paris, France",https://www.levillageparis.com/,01 40 17 02 19,"['Monday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 8:30\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20097:00\u202fPM']","the food is average, coffee is good. the toilet room was dirty, no soap, no paper, but it’s not a cheap place)))
the cafe is located in a quiet street, among boutiques. at lunchtime they will let you in if you will eat. prices are high, service is ok; it's not cheap, but you're eating in a café in paris in the stylish pedestrian street that has boutiques from chanel and dior, so just enjoy.  food was pretty good, the steak tartare offered better value than the petit filet, which lived up to its billing.  chips and salad good.  service was efficient.; awesome place with great food and pretty much the only place with good service we experienced in 3 days in paris. chich and trendy decor, nested in a cute arcade between the dior and chanel store, well thought out and presented dishes, encompassing a range of tastes and flavours from around the world. they were also very accommodating with our 4 year old and made a dish for her that wasn't on the menu. not cheap but it is what it is.; place is nice but the food was terrible and expensive, 12€ for a plate of scrambled eggs that appeared to be soup with a small bread that was hard as a rock, the coffee was worst than instant coffee and it came from a machine not from an espresso machine which for 8€ is a scam.

the service is ok, nothing surprising just regular paris service.

the place is in a nice spot but definitely not worth the price, you pay top money and get low quality.; tucked in an alley next to dior. freshest seafood i’ve had in paris and this place has outdoor seating and indoor seating. we had thai salad with prawns very fresh. we also had brunch with smoked salmon with avocado salad also very fresh with the fluffiest scrambled eggs. the menu is simple with other salad options, rigatoni, artichoke salad, tuna tartare, beef tartare, club sandwich (looks yummy) and desserts. service is professional and friendly. no cheese options though as i always want a plate of cheese while in paris.",48.8692655,2.3229072,0.0,False,0.0,0,75008,LeV_75008_7,False
Cafe Louise,4.2,"155 Boulevard Saint-Germain, Paris",1334,"155 Bd Saint-Germain, 75006 Paris, France",https://www.cafe-louise.fr/,01 42 22 88 98,"['Monday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 7:00\u202fAM\u2009–\u20092:00\u202fAM']","we came here for brunch on a sunday. it’s €38 per person, including a juice (freshly squeezed or detox juice), a coffee, a choice of either waffle or savory tart, and bottomless fruits and desserts from the buffet table. the warm and friendly staff made the already fantastic meal even better. highly recommended.; great place for sunday brunch, had a good parisian breakfast. fresh juice, coffee as well.
dessert was divine, came here with family. the service is slow but quite enjoyable.; we loved louise! such parisian atmosphere and interior. excellent service and amazing food. right on the middle of the famous boulevard saint-germain across the street from famous cafes. so lucky we found it!; visited café louise twice last weekend and we were very delighted.
the staff was super nice, professional and funny and the food was delicious. highly recommended!!; had a uniquely french lunch - ""grilled cheese"" and champagne, sitting outside, taking in the atmosphere, and watching the crowd walk (fast) by.",48.8538173,2.3321329,0.0,True,0.0,1,75006,Cafe_75006_8,True
Wonderland brunchy Notre Dame/ Restaurant Brunch,4.6,"4 Quai d'Orléans, Paris",1939,"4 Quai d'Orléans, 75004 Paris, France",https://www.instagram.com/p/CpK6rLdIo13/?igshid=YmMyMTA2M2Y=,07 66 82 21 27,"['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20091:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']","super good food ! yummy and looks so pretty. we were well received and served with a smile (so important in paris right ? 😇)
it’s a little more expensive than we thought but you get what you pay for. around 18€ for a main. we shared pancakes after so it came out to about 28€ pp for a drink a main and a shared dessert.
toilets clean, coffee is pretty good, i got a very original drawing on line which made me very happy !; absolutely amazing brunch spot! we went here every day during our trip in paris because it was so good. the staff was so kind and friendly to us, especially the server (wish we had asked her name). highly recommend the eggs benedict, purple pancakes, and purple french toast. if you want to avoid waiting, go on weekdays or get there when they open on weekends. we loved it!; best impressions! food is always delicious, my favorite place for brunch dishes in paris! located in the great spot as well! the service is very kind and friendly. thank you for your always welcoming attitude and honesty.; food was excellent! everything that we tried was tasty. portions were big. staff was friendly and helpful. but it was 26 degrees outside, you can sit only inside and it was too hot.
all in all it was a very pleasant experience! thank you!; me and my friend had the purple french toast, which was amazing!! she already had it before and had to come back to get it.

also the staff were so lovely and gave us great tips for paris as a first-timer 🤍",48.8512622,2.3558103,0.0,True,0.0,0,75004,Wond_75004_9,False
