,name,rating,vicinity,total_ratings,formatted_address,website,phone_number,opening_hours,reviews,zipcode
0,All Good Things Paris,4.4,"60 Rue Custine, Paris",316,"60 Rue Custine, 75018 Paris, France",https://www.allgoodthingsparis.com/,09 55 68 36 32,"['Monday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Tuesday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Wednesday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Thursday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Friday: 7:00\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u20092:00\u202fAM']","Spent time browsing through so many other brunch options in Montemarte and settled on this last minute

Came early on a Friday morning, one of their first customers. Their coffee was surprisingly really good! We ordered an americano and latte. My husband and I don’t drink coffee often but we loved it here. It came with pain au chocolate which were divine with our espressos. We also had the croque madame, good balance of meat, cheese and sunny side up egg but the toast underneath was a little dry. Still good nonetheless. Our waitress was so nice and sweet. Loved the atmosphere of this restaurant! Clean bathrooms.; Location top and staff amazing and super friendly! We had a brunch this morning and WOW! Food is super tasty ! We will definitely come back! Ps: un gracias especial a Federico, que ha sido súper simpático y habla un italiano perfecto! 😉😉😉
A big thanks to everyone.. we will definitely come back! Giulia & Sara from Italy 🇮🇹; Second visit, the first being brunch.
Very friendly and the place was buzzing for dinner tonight. The host and staff were attentive and even helped with our struggles with french yet made us feel at ease. The menu was available online in English which was greatly appreciated. Food was excellent and the staff even went a little more than needed with service. I Enjoyed three courses and would happily eat here again.; Great place, amazing service, cute interior, very good food. We had the Eggs Benedict with Cheddar and Ham (€15) and it’s just like you’d wish them. They have full brunch menu for €25 with drinks included. There’s space for improvement for the Home Made Iced Tea, though. The taste is very faded, basically flavoured water and does not correspond to the price (€5). Still this place gets 5 stars from me for everything else.; Went on a Sunday morning for a buffet. It was excellent, pic below is part of what they offered, there was more ….The food was perfect from the eggs right down to the hot chocolate. 10/10, the price was worth the experience and quality of food and service. Bravo",75018
1,Au Fond du Jardin,4.1,"39 Rue Pelleport, Paris",896,"39 Rue Pelleport, 75020 Paris, France",https://sites.google.com/view/afdj/accueil,09 54 33 04 96,"['Monday: 12:00\u2009–\u200911:30\u202fPM', 'Tuesday: 12:00\u2009–\u200911:30\u202fPM', 'Wednesday: 12:00\u2009–\u200911:30\u202fPM', 'Thursday: 12:00\u2009–\u200911:30\u202fPM', 'Friday: 12:00\u2009–\u200911:30\u202fPM', 'Saturday: 12:00\u2009–\u200911:30\u202fPM', 'Sunday: 12:00\u2009–\u200911:30\u202fPM']","Amazing atmosphere, good food, lovely staff; Great place, beautiful garden setting, delicious food and drinks.; Super nice hidden garden, the restaurant is a great place for a quiet dinner.
The food is pretty good, so are the cocktails. The service is efficient, and the food and drinks are fairly priced; Pizzas are good and not too expensive, although not completely filling, you should expect to need a starter or desert. The backyard is calm and nicely decorated, it's awesome during a sunny day.; Cozy place, caring waiter, pleasant general atmosphere. We weren't disappointed by the dinner at this place. Although, they didn't check vaccine certificate. Some other minuses:
- food was mediocre (fish of the day was not well cooked and vegetables was quite watery, still, the fish tasted nice);
- absence of the music is awkward, because you can hear all the talks around.",75020
2,Friends & Family Restaurant,4.6,"18 Cité Bergère, Paris",513,"18 Cité Bergère, 75009 Paris, France",https://www.friends-n-family.com/,01 45 23 33 33,"['Monday: Closed', 'Tuesday: 6:30\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 6:30\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 6:30\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 6:30\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 6:30\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: Closed']","Restaurant is so aptly named as the atmosphere is cosy with tables of patrons chatting happily away. The waiter is very friendly. Even though he can barely speak English but still tries to communicate as much as he can. The menu is very simple. You either choose 2 courses pairing the mains with entrees or dessert for 28 Euros or all 3 courses for 36 Euros. All the items in each course is written in French onto the chalkboard. So i presume it is changed regularly. Though I can't understand French,  its easily overcome with Google Lens . The entree of squid and chorizo sausages in an orange thick soup was a pleasant surprise. For the mains I tried beef tatare for the first time and it tastes good. Ended meal with a chocolate mousse with sea salt. The waiter was a one man show handling many tables so each course took some time to arrive which was understandable. Hope the restaurant can find some help soon for this kind gentleman :); Great casual spot.
Came for a Thursday night dinner. Service was very good and the staff is very nice. The place is quiet and chill and away of the street’s bustle.
Buratta and the apricot crumble were the highlight of the evening.
Beef fillet was also good, but nothing too exciting.; We were looking for a fine dine restaurant, this was recommended by our hotel staff, and surprisingly this was indeed a good experience. Price it's reasonable, portions are great, great service! The only improvement I see are the desserts, they are too heavy by my taste, but definitely does not affect overall experience.; The restaurant was an absolutely fantastic discovery having come here for dinner with a friend! We chose it judging by all the positive reviews & we weren't disappointed 😍 Every dish that we ordered was absolutely exquisite!! We had the burrata as a starter, the dorade ceviche as a main and the seasonal crumble, as well S the mousse au chocolat for dessert - each and every one of them was a little wow experience 🤯 The prices were fair for the outstanding quality - 27€ for a starter + a main dish or a main dish + a dessert; or 35€ for all the three courses. I had a white wine suggested which fit perfectly with the food and all in all, the service was so warm and welcoming, which is extremely refreshing in the world of grumpy Parisian waiters 😅 The only thing to mention, is that it would be great to have some more qualitative tea instead of just Lipton in a tea bag 😏 It's located in a little hidden street, so it's really calm & away from all the noise of the cars, while being super central, it's simply the perfect mix!!! We will be back for sure & I have already suggested it to other friends ♥️; It was a nice fixed price menu place. My favorites were the mushroom soup starter and the desserts. For my entrée I had the steak tartare, and I guess it's one of those things I can check off the list as having tried. They've got plenty of wines to choose from, if that's your thing.",75009
3,Un Air de Famille,4.8,"26 Rue du Château Landon, Paris",76,"26 R. du Château Landon, 75010 Paris, France",http://www.air-de-famille.fr/,01 42 05 01 24,"['Monday: 9:00\u202fAM\u2009–\u20097:30\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:30\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20097:30\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20097:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:30\u202fPM', 'Saturday: Closed', 'Sunday: Closed']","Really cozy , beautiful and welcoming people at the restaurant, I ate my first desert in Paris and it was goood; Kids friendly great food healthy; Very pleasant place and very nice staff especially for the child care part.; Taste good, all aspects are pretty good; Amazing place and excellent food!",75010
4,Petite Forêt,4.7,"10 Rue Laure Diebold, Paris",142,"10 Rue Laure Diebold, 75008 Paris, France",http://www.petiteforet.com/,09 75 56 63 15,"['Monday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:30\u202fPM', 'Saturday: 9:30\u202fAM\u2009–\u20096:30\u202fPM', 'Sunday: Closed']","So happy to have found this wonderful, much needed, welcoming space for moms and babies in the middle of the hectic (not always child-friendly) city of Paris. Lots of room, clean space, friendly staff, cute children’s products. And the coffee is always great!!! I also cannot wait to try the classes once my baby is a bit older. Thank you for creating this haven for parents and kids!!!; The perfect cafe if you're in central Paris with small children. Gives the children a chance to run around, play, relax with books and enjoy a meal. Staff very friendly. The menu is a little limited for savoury meals.; Great little cafe if you have little ones. The staff are incredibly friendly! The coffee was good and the food was fantastic. We had a salad and a pesto pasta, while our 1-year-old loved the tomato pasta. The baby change and bathroom facilities are great, especially for kids.; There's no other place like Petite Forêt in Paris. Kids and families are not only welcome but it's a paradise, especially made for them. You can enjoy a hot (!) drink and a cake with delicious berries while the little ones play with the many beautiful and high quality, wooden toys, books etc. There're several stokke highchairs with different seats (yes, infant seats as well!) to make it more comfortable for everyone, playmat for the littlest, lots of space for the kiddos to play and move around, proper parking space for the pushchairs, delicious tea, coffee and cakes on the (expanding) menu, healthy snack and drinks for the children and honestly, I could just keep going on. The founders, Laura and Kaja are very kind and attentive who created the most amazing place for families. Did I mention  there's a bf pillow, changing table, several children's size toilets, all in a beautiful, clean and hygienic bathroom? Seriously, the list goes on.; I had the luck to find this lovely café just after they opened. Inside it’s spacious and full of light, and very family/child friendly. I enjoyed the small touches, like how pretty all of their ceramics (plates/bowls/cups) are. Both my latte and cinnamon brioche were delicious. I’m curious to see what kind of ateliers they will offer in the future - I’ll definitely be back!",75008
5,Food Market | Loisirs | Événements | Boom Boom Villette,4.1,"30 Avenue Corentin Cariou, Paris",9079,"30 Av. Corentin Cariou, 75019 Paris, France",https://boomboomvillette.com/,Numéro non disponible,"['Monday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u20092:00\u202fAM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fAM', 'Sunday: 8:00\u202fAM\u2009–\u20091:00\u202fAM']","The food court has exciting vibe, free arcade game, and yummy foods!!!; Lovely atmosphere - for fun and also great for co-working - incl. places with plugs!
Great coffee and tasty food!
Staff is amazingly friendly and the escape room was really fun!; Nice place for food but could’ve been cheaper than this. … the food is a bit costly compared to its taste; Worst experience in Paris with Boom boom when I was walking on the street they told me to scan the QR and play the game to win food and I win the game when I reach the store they gave me the free hot dog but I need to choose the menu first of 13.50 euro it’s just wasting my time and I ask my free hot dog but they didn’t provide that only worst experience don’t fall in this type of game it’s waste of time; This review is for Street Banh Mi at the Food Market. Follow a very good review of Vietnamese community group on Facebook, I gave it a try to support my homeland foods and restaurant owners. I tried their special “Bánh mì chảo” which is kind of double price of a normal bánh mì 8,5€. And that’s already expensive compared to many good banh mì that I have tried in Paris. It was very noisy there and we needed to wait a bit long. And the “Bánh mì chảo” is too far from the bánh mì chảo that I know. Dry, no sauce and quantity is not up to the price 15€. The quality is average. And the bread is under baked, white, too soft not crunchy. I usually don’t spend time to write negative review. I did this time because it isn’t correct to serve average quality for high price.
It deserves 2,5 stars.",75019
6,La Fontaine Cuvier Restaurant,4.3,"20 Rue Cuvier, Paris",272,"20 Rue Cuvier, 75005 Paris, France",https://www.facebook.com/lafontainecuvier,01 55 43 83 22,"['Monday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Tuesday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 6:30\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 6:30\u202fAM\u2009–\u200910:00\u202fPM']","Everyone knows French food is delicious but I wasn't expecting to get fantastic burgers in Paris! Stopped in randomly for dinner and this burger and fries was perfection. There's a whisper of garlic on the fries that's soooo good and the caramelized onions in the burger were delicious. Definitely recommend.; I have eaten here twice in the last two nights and found the staff to be very friendly and the food was delicious . I had salmon in a crispy pastry with beautifully cooked vegetables in a sumptuous sauce and a medium rare beef dish with excellent fries and salad. The white wine and rose were wonderful too. Great atmosphere and music. I will be back :-); Great resto just next to the Jardin des plantes. Our 2nd time here and food was good and service right on.; We had amaizing evenings in this restaurant with real parisian view and vibe.
We had french fries and mousse au chocolat which was delicious but contained a little bit of lumps.
But we would definetely come back.; Delicious burgers. Close to the Jardin de Plants. The restaurant is on the corner of a street and easy to miss if you're coming from the north side. But if you do spot it, you'll will find a small restaurant that cooks your meal where you can see it from the outside terrace. The burgers are to die for, great taste. The lady serving us was very eager to help and explained everything to us in English. The restaurant is on a corner of a busy street though, which is not ideal, but probably worth it.",75005
7,Candle Kids,4.5,"107 Rue des Couronnes, Paris",184,"107 Rue des Couronnes, 75020 Paris, France",https://www.instagram.com/candlekidscoffee/,Numéro non disponible,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Thursday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Friday: 8:30\u202fAM\u2009–\u20095:30\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']","This is by far the best coffee shop in town!!!
Staff is super friendly, food is delicious and coffee is just amazing.
Highly recommended.; Adorable coffeeshop with a lot of space and tables both inside and outside. There are two zones for laptops. The coffee is great. Cinnamon roll is recommended!; good neighborhood coffee shop in the 20th arrondissement! we got the hojicha latte & cardamom bun — both really good!! great place to catch up with friends.even though the place is full (even outside), the people really come and go so it’s easy to grab a table in just a few minutes wait!; Great coffee place, can recommend 👍
One of the « new style » chic Parisian cafes that you see here and there, and everywhere if you know what to look for. Which is good.; Friendly and warm little cafe in Belleville! This has been my go-to coffee shop during my stay in Paris, hands down! Best coffee and its made with L-O-V-E.  Fresh OJ, wonderful pastries and a lively environment to read or just people watch. Also, the cutest dogs hang out there. I highly recommend.",75020
8,Soc Francaise D Exploitation Restauran,4.0,"26 Avenue Corentin Cariou, Paris",1,"26 Av. Corentin Cariou, 75019 Paris, France",Site web non disponible,01 40 05 79 99,Horaires non disponibles,great value for money for the crazy bar.,75019
9,LES FARFADETS PARIS,4.8,"295 Rue des Pyrénées, Paris",51,"295 Rue des Pyrénées, 75020 Paris, France",http://lesfarfadetsparis.com/,01 43 66 33 25,"['Monday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']","Their salads are fantastic whether you're vegetarian or not!; Very good and cheap food. Friendly staff; 👍; I had a sandwich and a salmon quiche.
the sandwich was good, but the bread seemed industrial to me.

Likewise, for the quiche: bad surprise I came across a bacon quiche when I had ordered a salmon one... a slight disappointment especially since the quiche dough was much too soft to have taken out of the oven.; Having been faithful almost every day I can guarantee you that this place is just great, varied products and very, very good! I'm going to miss the leprechaun! Your former neighbor 😋",75020
