name,rating,vicinity,type,arrondissement,latitude,longitude,user_ratings_total,zip_code
Tuileries Garden,4.6,Paris,park,1er,48.8634916,2.327494299999999,107177,75001
Square of Saint-Jacques Tower,4.4,"39 Rue de Rivoli, Paris",park,1er,48.8578644,2.3488147,4368,75001
Café Kitsuné Palais Royal,4,"51 Galerie de Montpensier, Paris",park,1er,48.86557309999999,2.337251199999999,1338,75001
Gibier de Chasse,Note non disponible,"8 Rue Danielle Casanova, Paris",park,1er,48.8678351,2.332912799999999,Aucune évaluation,75001
MNews,Note non disponible,"3 Rue de Gramont, Paris",park,1er,48.8692832,2.3365278,Aucune évaluation,75001
Place Gabriel García Márquez,4.4,"4 Rue de Montalembert, Paris",park,1er,48.8567759,2.3273057,8,75001
Restaurant de la Maison de l'Amérique latine,4.4,"Maison de l'Amérique latine, 217 Boulevard Saint-Germain, Paris",park,1er,48.8574066,2.3233537,1065,75001
Fontaine des Mers,4.6,"Fontaine des Mers, Place de la Concorde, Paris",park,1er,48.86496289999999,2.3207592,580,75001
Square Bidault,3.8,Paris,park,1er,48.86982549999999,2.3499078,115,75001
Square René Viviani,4.5,"2 Rue du Fouarre, Paris",park,1er,48.85217480000001,2.347595999999999,2939,75001
Square du Vert-Galant,4.5,"15 Place du Pont Neuf, Paris",park,1er,48.857487,2.3401677,1339,75001
Le prince Jardinier,4,"46 Rue du Bac, Paris",park,1er,48.85653759999999,2.326112,20,75001
Jardin Anne Frank,4.4,"14 Impasse Berthaud, Paris",park,1er,48.86161929999999,2.354984,1092,75001
Fontaine de la Nymphe marine,4.4,"176 Rue Saint-Honoré, Paris",park,1er,48.8636761,2.3350008,38,75001
Jardinet de la place Lieutenant Henri Karcher,Note non disponible,"4 Rue du Bouloi, Paris",park,1er,48.86310369999999,2.3399298,Aucune évaluation,75001
Cour Carrée,4.7,"Louvre - Tuileries, Paris",park,1er,48.8603805,2.338543399999999,139,75001
Jardin du Carrousel,4.6,"6 Avenue du Général Lemonnier, Paris",park,1er,48.86199659999999,2.332070099999999,289,75001
Jardin du Palais Royal,4.7,"8 Rue de Montpensier, Paris",park,1er,48.8649723,2.3378061,7570,75001
Square Michel-Caldaguès,3.9,"Place du Louvre, Paris",park,1er,48.8599924,2.3405771,59,75001
mémorial de la Saint-Barthélémy Garden,3.7,"Place du Louvre, Paris",park,1er,48.8597851,2.3406491,27,75001
Café Kitsuné Tuileries,4.2,"208 Rue de Rivoli, Paris",park,1er,48.8644663,2.3303945,627,75001
Quins borrow,Note non disponible,"75001 Quai Henri IV, Paris",park,1er,48.85873369999999,2.3401479,Aucune évaluation,75001
Caniparc Chatelet les halles,1,"Parc canin - Nelson Mandela, 101 Allée Elsa-Triolet, Paris",park,1er,48.86302560000001,2.343439800000001,2,75001
Espace canin - Nelson Mandela,3.2,"101 Allée Elsa-Triolet, Paris",park,1er,48.86302560000001,2.343439800000001,11,75001
Vivienne Garden,4.5,"5 Rue Vivienne, Paris",park,1er,48.8670886,2.3387592,13,75001
Bar sur les quais,2.3,"Pont Neuf, Quai du Louvre, Paris",park,1er,48.85860760000001,2.3410308,3,75001
Square Louvois,4.2,"69bis Rue de Richelieu, Paris",park,1er,48.86793830000001,2.3377534,417,75001
Fontaine Louvois,4.3,"4 Rue de Louvois, Paris",park,1er,48.8679699,2.3375713,164,75001
Nelson Mandela Garden,4.2,"32 Rue Berger, Paris",park,1er,48.8618576,2.3445106,1982,75001
Blackjack,Note non disponible,"6 Rue Danielle Casanova, Paris",park,1er,48.8678901,2.333115,Aucune évaluation,75001
Allée Eveline Garnier,3,"Rue de Louvois, Paris",park,1er,48.86827,2.3373146,1,75001
Allée Andrée Jacob,3,"Rue de Louvois, Paris",park,1er,48.86827,2.3373146,1,75001
Pt viewpoint,Note non disponible,"Rue du Pont Neuf, Paris",park,1er,48.85990090000001,2.3439855,Aucune évaluation,75001
Fontaine Colbert,1,"6 Rue Colbert, Paris",park,1er,48.86812619999999,2.338863299999999,1,75001
A cote de chatelet,Note non disponible,"12 Place Carrée, Paris",park,1er,48.8622552,2.3451699,Aucune évaluation,75001
Jardin Alice Saunier Seïté (ex-de la rue Visconti),3.7,"12 Rue Visconti 8, 10 et, Paris",park,1er,48.855852,2.335764,6,75001
Square de la place Dauphine,4.9,"5 Imp. des Pavillons, Paris",park,1er,48.85668690000001,2.3423181,16,75001
Tuileries Gardens Bridge,5,"Passerelle, Léopold Sedar Senghor, Paris",park,1er,48.86193069999999,2.3248559,2,75001
Sentier,Note non disponible,"8 bis Rue Bachaumont, Paris",park,1er,48.86607100000001,2.3460285,Aucune évaluation,75001
Square Madeleine Tribolati,3.8,"51 Rue Montorgueil, Paris",park,1er,48.865294,2.346683899999999,10,75001
Pro Gazon,5,"9 Rue des Colonnes, Paris",park,1er,48.8697221,2.3394262,21,75001
Auguste Scheurer-Kestner Garden,3.7,"2 Rue Jacob, Paris",park,1er,48.8546517,2.3367013,3,75001
Le Jardin de Bonne,Note non disponible,"5 Rue Léopold Bellan, Paris",park,1er,48.86637109999999,2.3466904,Aucune évaluation,75001
Fontaine des Innocents,4.1,"Place Joachim du Bellay, Paris",park,1er,48.860647,2.348032700000001,1692,75001
Square Laurent-Prache,4.3,"1 Place Saint-Germain des Prés, Paris",park,1er,48.8542709,2.3339389,54,75001
square Taras-Chevtchenko,4.6,"186 Boulevard Saint-Germain, Paris",park,1er,48.85456749999999,2.330799499999999,105,75001
Super vue sur Montmartre,Note non disponible,"17 Boulevard des Italiens, Paris",park,1er,48.8712428,2.336840399999999,Aucune évaluation,75001
Fontaine Pastorale,3.7,"147 Boulevard Saint-Germain, Paris",park,1er,48.8538128,2.3340774,3,75001
Square Félix Desruelles,4.4,"168 bis Boulevard Saint-Germain, Paris",park,1er,48.8535714,2.3353157,19,75001
Place Jacques Copeau,4,Paris,park,1er,48.85346510000001,2.3343773,1,75001
Vertical Garden,4.7,"83 Rue d'Aboukir, Paris",park,1er,48.86810879999999,2.3476068,12,75001
Placette des Petits Carreaux,4.2,"40 Rue des Petits Carreaux, Paris",park,1er,48.8680934,2.3476998,20,75001
Moulié,4.3,"8 Place du Palais Bourbon, Paris",park,1er,48.8602165,2.3181372,63,75001
Weinbergs Unterschlupf,Note non disponible,"2 Rue de Mulhouse, Paris",park,1er,48.8686884,2.347359699999999,Aucune évaluation,75001
Square Samuel Rousseau,4.5,"2 Rue Casimir Périer, Paris",park,1er,48.85896890000001,2.3197101,188,75001
scs,Note non disponible,"Boulevard de Bonne Nouvelle, Paris",park,1er,48.8666214,2.3498578,Aucune évaluation,75001
