,Arrondissement,Name Arrondissement,Name Arrondissement,Surface (ha),Population (2020),"Density (2021, hab/km²)"
0,1,1,Louvre,183,15919,8699
1,2,2,Bourse,99,21119,21332
2,3,3,Temple,117,32793,28028
3,4,4,Hôtel-de-Ville,160,28324,17702
4,5,5,Panthéon,254,56841,22378
5,6,6,Luxembourg,215,40209,18702
6,7,7,Palais-Bourbon,409,47947,11723
7,8,8,Élysée,388,35123,9052
8,9,9,Opéra[note 1],218,58951,27042
9,10,10,"Entrepôt,anciennementEnclos Saint-Laurent",289,83543,28908
10,11,11,Popincourt,367,142583,38851
11,12,12,Reuilly,Horsbois de Vincennes,142340,22594
12,13,13,Gobelins,715,178350,24944
13,14,14,Observatoire,564,136368,24179
14,15,15,Vaugirard,848,227746,26857
15,16,16,Passy,Horsbois de Boulogne,165487,20921
16,17,17,Batignolles-Monceau,567,164413,28997
17,18,18,Butte-Montmartre,601,188446,31355
18,19,19,Buttes-Chaumont,679,181616,26748
19,20,20,Ménilmontant,598,189805,31740
