,ID,URL,Titre,Chapeau,Description,Description de la date,Nom du lieu,Adresse du lieu,Code postal,Ville,Coordonnées géographiques,Type de prix,Type d'accès,audience,group,locale,Month_debut,Year_debut,Month_fin,Year_fin
0,48845,https://www.paris.fr/evenements/tout-moliere-ou-presque-48845,Tout Molière ou presque au Funambule de Montmartre,"Trois comédiens décident de relever un impossible défi : monter tout Molière… en 1heure, 2 minutes et 27 secondes.","<p>De « Tartuffe » au « Médecin malgré lui», en passant par « Les fourberies de Scapin » , « Le malade imaginaire », « L'avare » ou « Le bourgeois Gentilhomme », on assiste à un florilège des meilleures scènes de Molière, orchestré par une équipe de bras cassés, investis d’une mission au service de laquelle ils mettront toute leur énergie.</p>",payant,Théâtre le Funambule Montmartre,53 rue des saules,75018,Paris,"48.8907509804195, 2.34041696523335",payant,conseillée,Tout public.,Aucun,fr,October,2024,January,2025
1,65836,https://www.paris.fr/evenements/o-samba-do-crioulo-doido-luiz-de-abreu-avec-calixto-neto-65836,O Samba do Crioulo Doido - Luiz de Abreu avec Calixto Neto,Dans le cadre du Pavillon danse Calixto Neto Jardin Atlantique.,"<p>Il y a vingt ans, Luiz de Abreu dansait <em>O Samba do Crioulo Doido</em>. Un solo corrosif d’une violence et d’une honnêteté sans égal. Calixto Neto a repris le flambeau. Pris en tenaille entre exotisme et érotisme, le corps noir, objet de tous les fantasmes, retourne les stéréotypes et emblèmes du Brésil par la danse de l’histoire coloniale de son pays. De la samba à la <em>feijoada</em>, en passant par l’appropriation du drapeau national, il fait de la grâce la plus efficace des subversions.</p>",payant,La Commune CDN d'Aubervilliers,2 rue Edouard Poisson,93300,Aubervilliers,"48.9105339902036, 2.38496602623954",payant,conseillée,Tout public.,Aucun,fr,June,2025,June,2025
2,65920,https://www.paris.fr/evenements/electro-tap-musique-a-regarder-vs-danse-a-ecouter-candice-martel-65920,"ELECTRO-TAP, MUSIQUE À REGARDER VS DANSE À ÉCOUTER Candice Martel","Un concert dansé au groove incessant, entre semelles métalliques et synthétiseurs, qui repousse les limites du genre avec la nouvelle vague du tap dance !","<p><strong>Préparez-vous à plonger dans la nouvelle vague du <em>tap dance</em> ! Musique électro et cadence des claquettes s’unissent pour un concert dansé au <em>groove </em>incessant. <em>Electro-tap</em>, ou la rencontre entre semelles métalliques, synthétiseur et guitare électrique.</strong></p><p>Le <em>tap dance</em>, comme l’appellent ses inventeurs new-yorkais, connaît aujourd’hui un renouveau spectaculaire. À cette mouvance passionnante, Candice Martel apporte sa touche personnelle, résolument novatrice. Dans <em>Electro-tap</em>, le modulariste Modgeist, figure de proue de l'électro <em>live</em>, au synthétiseur et Thomas Naïm à la guitare (<em>On the Far Side ; Sounds of Jimi ; Desert Highway</em>) invitent un paysage sonore entre l’électronique et l’acoustique, entre le geste musical et le corps dansant, avec le sol comme prolongement sonore. Aussi les pieds de Candice Martel deviennent instrument de musique, traversant un paysage sonore modulé à la table de mixage, et comme en boîte de nuit pour un <em>clubbing </em>électro, le <em>groove </em>ne tarit jamais.</p><p>Un voyage chorégraphique à travers de nouvelles textures sonores, une danse à regarder ou à suivre comme un concert, pour repousser les frontières de nos habitudes perceptives. Et puisque Candice Martel fait de l’humain sa priorité, elle est accompagnée dans l’ombre par la figure de Peg Leg Bates, <em>tap dancer</em> unijambiste historique ! Aussi <em>Electro-tap</em> est une ode à la liberté et un encouragement à suivre ses rêves…</p><p><strong>Avec l’Atelier de Paris – Centre de développement chorégraphique national, dans le cadre du festival <em>JUNE EVENTS</em></strong></p><p><strong>Spectacle accessible aux personnes malentendantes</strong></p>",payant,Le Carreau du Temple,2 rue Perrée,75003,Paris,"48.864697, 2.361483",payant,conseillée,Tout public.,Agenda,fr,June,2025,June,2025
3,65962,https://www.paris.fr/evenements/le-dispositif-relax-seances-et-representations-accessibles-avec-ou-sans-handicap-toute-l-annee-65962,Le dispositif Relax : séances et représentations accessibles avec ou sans handicap toute l'année !,"Aller au cinéma, au concert, à l’opéra, au théâtre : un acte banal mais qui, pour certains, paraît impossible ou se transforme en épreuve. Le dispositif Relax rend la culture accessible en inclusion à des personnes qui en sont privées par leur handicap (personnes autistes, polyhandicapées, avec un handicap intellectuel, cognitif, des troubles psychiques, une maladie d’Alzheimer…).","<p>Les
séances et représentations Relax proposent un environnement bienveillant et
chaleureux où chacun, avec ou sans handicap, est accueilli et respecté tel
qu’il est. Les séances labellisées Relax permettent aux familles un accès sans
anxiété à un loisir culturel, elles peuvent y partager un moment agréable sans
peur de déranger. Chacun est libre de s’y exprimer à sa façon, en fonction de
ses moyens.</p><p>Avec
ou sans handicap, la culture c’est pour tout le monde !</p><p>Retrouvez une séance mensuelle dans nos 4 salles de cinémas parisiennes partenaires : Les 7 Parnassiens (14ème), le Majestic Passy (16ème), l'UGC Ciné Cité Bercy (12ème), l'UGC Ciné Cité Paris 19ème - le samedi après-midi ou le dimanche matin.</p><p>Le même dispositif existe au spectacle vivant, plus de
 60 représentations auront lieu dans 17 établissements
 partenaires :</p><p>Musée du
 Quai Branly - Jacques Chirac, Théâtre national de
 l’Opéra-Comique, Cité de la musique - Philharmonie de Paris,
 Théâtre du Châtelet, Théâtre de Chaillot, Théâtre de la
 Colline, Théâtre Dunois, Maison de la radio et de la
 musique, Théâtre des Champs-Elysées, Musée d’Orsay, Opéra
 national de Paris, Théâtre Jean Vilar de Vitry-sur-Seine,
 Théâtre Jacques Carat de Cachan, Théâtre public de
 Montreuil, Théâtre Mogador, La Villette.</p><p>La réservation est obligatoire pour se rendre sur une représentation Relax spectacle vivant, veuillez consulter la programmation de l'établissement et réserver via le canal spécifique indiqué.</p><p>Pour plus d'informations et consulter les dates des prochaines séances de cinéma et représentations Relax, rendez-vous sur notre site internet : <a href=""https://culture-relax.org/"">Culture Relax (culture-relax.org)</a></p>",payant,UGC Ciné Cité Paris 19ème,166 boulevard Macdonald,75019,Paris,"48.8989989826917, 2.37677699065617",payant,conseillée,Tout public.,Aucun,fr,September,2024,June,2025
5,66548,https://www.paris.fr/evenements/ensemble-les-sauvages-stabat-mater-66548,Ensemble Les Sauvages - Stabat Mater,Concert de musique baroque. Le vendredi 15 novembre au Patronage Laïque Jules Vallès.,"<p>Interprétant le Stabat Mater, chef-d’œuvre intemporel de Giovanni Battista Pergolèse, l’ensemble les Sauvages vous transporte le temps d’un concert dans une ambiance grandiose. Avec les voix de <strong>Bénédicte Bezault</strong>, Soprane, et <strong>Aline Désesquelles</strong>, Mezzo-Soprane accompagnées à la flûte par <strong>Sylvie Berthod</strong>, plongez vous dans l’ambiance intemporelle de la musique baroque.</p><p><strong>Réservation obligatoire. Paiement sur place (espèces ou chèque). Tarifs : 18€ / 15€ (tarifs Ville de Paris)</strong></p>",payant,Le Patronage Laïque Jules-Vallès,72 avenue Félix Faure,75015,Paris,"48.8400739938207, 2.28506396631013",payant,obligatoire,Tout public.,Centres d'animations,fr,November,2024,November,2024
6,66687,https://www.paris.fr/evenements/arpentage-de-cynthia-fleury-antoine-fenoglio-66687,[arpentage] 𝑪𝒆 𝒒𝒖𝒊 𝒏𝒆 𝒑𝒆𝒖𝒕 𝒆̂𝒕𝒓𝒆 𝒗𝒐𝒍𝒆́. 𝑪𝒉𝒂𝒓𝒕𝒆 𝒅𝒖 𝑽𝒆𝒓𝒔𝒕𝒐𝒉𝒍𝒆𝒏 de Cynthia Fleury & Antoine Fenoglio,"Cet essai dresse une liste de vulnérabilités comme autant de zones à défendre. Une charte de tout « ce » qui ne peut nous être volé en dix points – dix besoins et biens communs. Le choix de cet ouvrage n’est pas anodin tant ce texte - qui vise à dévoiler d’autres modes d’être ou d’agir plus résilients, résonne et nourri la pratique d’Adrien M & Claire B, que nous accueillons en novembre, et infuse leurs « Cabanes de lumière » à découvrir à La Maison des métallos.","<p>Le silence, l’horizon, le soin des morts, la santé physique et psychique, le temps long… Voici quelques éléments qui composent les dix axes forts, essentiels à la vie, de <strong>cette charte pensée et rédigée par les philosophes Cynthia Fleury et Antoine Fenoglio</strong>. Celle-ci pose, sans hiérarchie, ce qui ne peut et ne doit pas nous être volé. Une charte qui ne se contente pas de les égrener comme une liste à la Prévert, mais qui tente d’explorer également les méthodes qui permettent d’éviter que ce vol ait lieu.</p><p>Pour formuler tout ils vont puiser du côté de nos vulnérabilités, celles qu’on tente tant bien que mal de compenser ou de dissimuler en temps normal et ils tentent bien plutôt de penser à partir de ces dernières, comme une source à laquelle on va venir puiser de quoi réarmer notre désir d’un monde plus équilibré et juste autour de ces biens communs à défendre, de quoi consolider nos pouvoirs d’agir et nos libertés.</p><p>Accompagné·es par Peuple &amp; Culture, on vous propose de découvrir ce livre avec<strong> une méthode bien connue de l’éducation populaire : l’Arpentage</strong>. On se partage l’ouvrage, on lit sa partie et on met ensuite en commun ce qu’on en a compris afin de <strong>créer du savoir collectif</strong>. Un arpentage atypique comme prolongement de la rencontre du mardi 19 novembre,<strong> Hospitalité, résistance et utopie</strong>, où vous pourrez venir écouter <strong>Antoine Fenoglio</strong> sur les mêmes thématiques.</p><iframe src=""https://www.youtube.com/embed/9UuH6xQzLQk?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen=""""></iframe><p>L'arpentage est une <strong>méthode de découverte à plusieurs d'un ouvrage</strong>. Il est recommandé de ne pas lire le livre avant ! L'équipe des Métallos se charge d'amener un exemplaire, boissons fraîches et douceurs, pour un moment de partage convivial.</p><p>↘</p><p>En savoir plus sur la méthode d’arpentage <a href=""https://www.peuple-et-culture.org/nos-actions/pratiques-d-education-populaire/arpentage"" target=""_blank"">ici</a></p>",payant,La Maison des métallos,"94, rue Jean-Pierre Timbaud",75011,Paris,"48.867741, 2.377855",payant,conseillée,Tout public.,Aucun,fr,November,2024,November,2024
8,66896,https://www.paris.fr/evenements/concert-aux-invalides-en-resistance-66896,Concert aux Invalides : En résistance !,"Le bouleversant programme du Chœur de l’Armée française et de ses solistes ouvrant ce concert témoigne de l’âpre résistance dans laquelle s’engagent écrivains et poètes patriotes, tels Aragon, Éluard et Cassou.","<p>Des compositeurs comme Poulenc, Barraine ou Dutilleux s’attachent à mettre en musique leurs poèmes, vecteurs privilégiés de transmission des valeurs propres à ceux et celles qui œuvrent solidairement dans la clandestinité, au péril de leur vie.</p><p>Installé aux États-Unis en 1940, Hindemith y compose en 1943 ses <em>Métamorphoses symphoniques</em>.</p><p>Si Korngold aime à confier que son concerto composé en 1945 est écrit « pour un Caruso du violon plutôt que pour un Paganini », le violon éblouissant de virtuosité de Nicolas Dautricourt en restitue toutes les facettes chatoyantes.</p><h4>Programme :</h4><ul><li><strong>Alain</strong>, <em>Prière pour nous autres charnels </em>(Péguy), <em>Chanson à bouche fermée</em>, <em>O Salutaris hostia</em></li><li><strong>Poulenc</strong>, <em>Priez pour paix </em>(Charles d’Orléans), <em>J’ai traversé le pont de Cé </em>(Aragon)</li><li><strong>Barraine</strong>, <em>Avis </em>(Éluard)</li><li><strong>Ferrat</strong>, <em>Nuit et Brouillard</em></li><li><strong>Marly </strong>et <strong>d’Astier de la Vigerie</strong>,<em> La complainte du partisan</em></li><li><strong>Marly</strong>, <strong>Druon</strong> et <strong>Kessel</strong>, <em>Chant des partisans</em></li><li><strong>Dutilleux</strong>, <em>La Geôle </em>(Cassou, extr. des <em>33 Sonnets composés au secret</em>)</li><li><strong>Hindemith</strong>, <em>Métamorphoses symphoniques </em>sur des thèmes de Weber</li><li><strong>Korngold</strong>, Concerto en <em>ré </em>majeur opus 35, pour violon et orchestre</li></ul><h4>Distribution</h4><ul><li><strong>Chœur de l’Armée française / Aurore Tillac</strong>, direction</li><li><strong>Orchestre symphonique de la Garde républicaine / Sébastien Billard</strong>, direction. Soliste <strong>Nicolas Dautricourt</strong>, violon</li></ul>",payant,Musée de l'Armée,129 rue de Grenelle,75007,Paris,"48.8581900107014, 2.3128939803284",payant,obligatoire,"Public enfants, jeunes et adultes.",Aucun,fr,November,2024,November,2024
14,67527,https://www.paris.fr/evenements/exposition-pablo-buelvas-67527,Exposition Pablo Buelvas,"Exposition ""ANOKUA, entre visible et invisible"" du 6 janvier au 24 janvier 2025. Vernissage et présentation publique le mercredi 15 janvier 2025 à 19h.","<p>La Sierra Nevada de Santa Marta en Colombie est un morceau de terre, une anomalie géologique qui culmine à 5.775 mètres d’altitude, à seulement 40 km de la mer la plus chaude du monde. Ici, la forêt tropicale et les abords de la mer des Caraïbes côtoient les neiges éternelles du pic culminant. Dans cette Sierra, vivent 4 peuples indigènes: les Arhuacos, les Wiwas, les Kogis et les Kankuamos. Ils l’appellent « le cœur du monde », “El Corazon del Mundo“, et ils en sont les gardien.ne.s. Les photographies que <strong>Pablo Buelvas</strong> vous présente aujourd’hui vous invitent au cœur des lieux les plus sacrés de la Sierra, à la rencontre des êtres qui la peuplent, qu’ils soient humains, animaux, végétaux, aquatiques ou minéraux. Elles s’inscrivent dans le projet éditorial “Anokua, les gardiens de l’équilibre“ qu’il porte aux côtés de la dessinatrice et designeuse franco-colombienne Gaitana Valbuena qui est aussi son initiatrice, et de l’essayiste Alexandrine Stehelin.</p><p>Entrée libre sur réservation.</p>",gratuit,Le Patronage Laïque Jules-Vallès,72 avenue Félix Faure,75015,Paris,"48.8400739938207, 2.28506396631013",gratuit,obligatoire,Tout public.,Centres d'animations,fr,January,2025,January,2025
15,67581,https://www.paris.fr/evenements/les-democraties-face-au-jihadisme-europeen-hugo-micheron-67581,"""Les démocraties face au jihadisme européen"" - Hugo Micheron","Conférence Cycle ""Un monde en guerre"". Le lundi 20 janvier 2025 à 19h au Patronage Laïque Jules","<p>D’où vient le jihadisme ? Où va-t-il ? Depuis l’effondrement de Daech en Syrie, ces interrogations semblent avoir disparu du débat public. Certes, les affaires qui émaillent tragiquement l’actualité rappellent que le sujet du terrorisme islamiste est loin d’être réglé. Mais en dehors des attentats, il est urgent de comprendre ce qui a permis au jihadisme de devenir, en l’espace d’une génération, un enjeu politique, sociétal et démocratique de premier plan. Hugo Micheron retrace avec précision ce qu’est le jihadisme depuis 1989, au-delà de la simple menace sécuritaire et du seul cas de la France, en proposant la première histoire du jihadisme européen, un phénomène d’abord ignoré, dont les transformations sont passées inaperçues et dont les implications sont considérables pour les équilibres actuels et futurs des démocraties européennes.</p><p><strong>Hugo Micheron</strong> est enseignant-chercheur en sciences politiques, après avoir soutenu sa thèse sur la sociologie politique du djihadiste français. Spécialiste de la radicalisation islamique et des relations entre la France et le Proche-Orient, il d’abord enseigné à Princeton, avant de devenir maître de conférence à l'École des Affaires internationales de Sciences Po (PSIA). Il est l’auteur de plusieurs ouvrages, tels que La Colère et l’Oubli, récemment publié aux éditions Gallimard, un ouvrage qui retrace l’histoire du djihadisme européen depuis le début des années 1990, ou La démocratie face au Djihadisme.</p><p>Entrée libre sur réservation.</p>",gratuit,Le Patronage Laïque Jules-Vallès,72 avenue Félix Faure,75015,Paris,"48.8400739938207, 2.28506396631013",gratuit,obligatoire,Tout public.,Centres d'animations,fr,January,2025,January,2025
16,67037,https://www.paris.fr/evenements/performance-fresque-de-l-artiste-la-tiote-67037,Performance : fresque de l'artiste la Tiote,La Tiote s'illustre à la médiathèque de la Canopée ! Venez rencontrer cet artiste et regardez l'évolution de son travail sur nos vitres pendant une journée exceptionnelle !,"<p><a href=""https://www.instagram.com/tiote.manon/"" target=""_blank"" rel=""noopener"" title=""Ouverture dans un nouvel onglet""><strong>Tiote</strong> </a>est une artiste
peintre, illustratrice et graphiste avec un univers plutôt éclectique. Qui va
du monde marin à la sensibilisation de la surdité à travers ses illustrations
afin de rendre visible ce handicap finalement peu connu.</p><p>Aujourd'hui étudiante en art
à la Sorbonne, elle développe son univers accès sur les animaux marins à
travers de nombreux projets. Elle représente la diversité du monde animal afin
d'éclairer sur des sujets d'écologie.</p><p>Tiote est également à la tête de l'<strong><a href=""https://www.instagram.com/cafe.dessin/"" target=""_blank"" rel=""noopener"" title=""Ouverture dans un nouvel onglet"">association
Café-Dessin</a> </strong>qui réunit les artistes nantais.es pour créer et s'entraider dans cette aventure créative.</p><p><strong>Entrée libre et gratuite, ouvert à tous et toutes !</strong></p><figure aria-label="" ; Image : L'artiste pose devant sa fresque murale représentant un requin ; Crédits : La Tiote"">
  <img src=""https://cdn.paris.fr/qfapv4/2024/08/20/original-e57ada41c45b86c1301d651a5f2cc38b.jpg"" alt=""L'artiste pose devant sa fresque murale représentant un requin"">
  <figcaption> ; Crédits : La Tiote</figcaption>
</figure>",gratuit,Médiathèque de la Canopée,10 passage de la Canopée,75001,Paris,"48.862399, 2.346853",gratuit,non,Tout public.,Bibliothèques,fr,December,2024,December,2024
