,Unnamed: 0,Date,Restaurant kid_friendly,Kid's activities,Parks,Month,Year
0,0,2023-11-05,10,36,0,11,2023
1,1,2023-11-12,19,36,0,11,2023
2,2,2023-11-19,14,34,0,11,2023
3,3,2023-11-26,12,33,0,11,2023
4,4,2023-12-03,13,37,0,12,2023
5,5,2023-12-10,17,38,0,12,2023
6,6,2023-12-17,11,39,0,12,2023
7,7,2023-12-24,31,61,10,12,2023
8,8,2023-12-31,28,51,0,12,2023
9,9,2024-01-07,17,38,0,1,2024
10,10,2024-01-14,9,34,0,1,2024
11,11,2024-01-21,13,39,0,1,2024
12,12,2024-01-28,14,40,0,1,2024
13,13,2024-02-04,15,51,0,2,2024
14,14,2024-02-11,23,62,9,2,2024
15,15,2024-02-18,22,81,0,2,2024
16,16,2024-02-25,28,64,0,2,2024
17,17,2024-03-03,17,46,0,3,2024
18,18,2024-03-10,20,43,0,3,2024
19,19,2024-03-17,15,30,0,3,2024
20,20,2024-03-24,21,43,0,3,2024
21,21,2024-03-31,19,60,0,3,2024
22,22,2024-04-07,18,53,0,4,2024
23,23,2024-04-14,14,62,0,4,2024
24,24,2024-04-21,19,73,0,4,2024
25,25,2024-04-28,25,50,0,4,2024
26,26,2024-05-05,25,47,0,5,2024
27,27,2024-05-12,9,37,0,5,2024
28,28,2024-05-19,17,33,0,5,2024
29,29,2024-05-26,21,40,0,5,2024
30,30,2024-06-02,21,43,0,6,2024
31,31,2024-06-09,16,48,0,6,2024
32,32,2024-06-16,12,39,0,6,2024
33,33,2024-06-23,20,46,0,6,2024
34,34,2024-06-30,14,46,0,6,2024
35,35,2024-07-07,24,67,0,7,2024
36,36,2024-07-14,14,65,0,7,2024
37,37,2024-07-21,20,74,11,7,2024
38,38,2024-07-28,20,62,0,7,2024
39,39,2024-08-04,19,75,0,8,2024
40,40,2024-08-11,17,59,0,8,2024
41,41,2024-08-18,26,53,0,8,2024
42,42,2024-08-25,18,50,0,8,2024
43,43,2024-09-01,17,48,0,9,2024
44,44,2024-09-08,11,44,0,9,2024
45,45,2024-09-15,14,43,0,9,2024
46,46,2024-09-22,23,51,0,9,2024
47,47,2024-09-29,25,57,0,9,2024
48,48,2024-10-06,28,44,0,10,2024
49,49,2024-10-13,20,64,0,10,2024
50,50,2024-10-20,16,100,2,10,2024
51,51,2024-10-27,28,70,4,10,2024
52,52,2024-11-03,15,38,3,11,2024
