,Date,Kid's-friendly restaurant,Kid’s activity Paris,Children’s park Paris,Month,Year
0,2019-10-20,54,52,0,10,2019
1,2019-10-27,77,54,0,10,2019
2,2019-11-03,41,0,0,11,2019
3,2019-11-10,60,27,0,11,2019
4,2019-11-17,42,0,0,11,2019
5,2019-11-24,42,0,0,11,2019
6,2019-12-01,26,0,0,12,2019
7,2019-12-08,0,0,0,12,2019
8,2019-12-15,45,0,0,12,2019
9,2019-12-22,54,34,0,12,2019
10,2019-12-29,39,36,0,12,2019
11,2020-01-05,0,0,0,1,2020
12,2020-01-12,45,0,0,1,2020
13,2020-01-19,41,0,0,1,2020
14,2020-01-26,40,0,24,1,2020
15,2020-02-02,47,38,0,2,2020
16,2020-02-09,49,36,0,2,2020
17,2020-02-16,52,66,24,2,2020
18,2020-02-23,74,23,0,2,2020
19,2020-03-01,32,0,0,3,2020
20,2020-03-08,29,0,0,3,2020
21,2020-03-15,0,0,0,3,2020
22,2020-03-22,0,0,0,3,2020
23,2020-03-29,0,0,0,3,2020
24,2020-04-05,0,0,0,4,2020
25,2020-04-12,0,0,0,4,2020
26,2020-04-19,0,0,0,4,2020
27,2020-04-26,0,0,0,4,2020
28,2020-05-03,0,0,0,5,2020
29,2020-05-10,0,0,0,5,2020
30,2020-05-17,0,0,0,5,2020
31,2020-05-24,0,0,0,5,2020
32,2020-05-31,22,0,0,5,2020
33,2020-06-07,0,23,0,6,2020
34,2020-06-14,42,0,0,6,2020
35,2020-06-21,40,0,0,6,2020
36,2020-06-28,25,25,0,6,2020
37,2020-07-05,0,0,22,7,2020
38,2020-07-12,32,0,0,7,2020
39,2020-07-19,44,0,0,7,2020
40,2020-07-26,34,32,0,7,2020
41,2020-08-02,41,0,25,8,2020
42,2020-08-09,57,0,0,8,2020
43,2020-08-16,38,0,25,8,2020
44,2020-08-23,43,28,0,8,2020
45,2020-08-30,27,0,0,8,2020
46,2020-09-06,28,0,0,9,2020
47,2020-09-13,22,0,0,9,2020
48,2020-09-20,0,0,0,9,2020
49,2020-09-27,48,0,0,9,2020
50,2020-10-04,27,23,0,10,2020
51,2020-10-11,41,0,0,10,2020
52,2020-10-18,34,36,0,10,2020
53,2020-10-25,24,0,0,10,2020
54,2020-11-01,0,0,0,11,2020
55,2020-11-08,0,0,0,11,2020
56,2020-11-15,0,0,0,11,2020
57,2020-11-22,0,0,0,11,2020
58,2020-11-29,0,0,0,11,2020
59,2020-12-06,0,0,0,12,2020
60,2020-12-13,0,0,0,12,2020
61,2020-12-20,0,0,0,12,2020
62,2020-12-27,0,0,0,12,2020
63,2021-01-03,0,0,0,1,2021
64,2021-01-10,0,0,0,1,2021
65,2021-01-17,0,0,0,1,2021
66,2021-01-24,0,0,0,1,2021
67,2021-01-31,0,0,0,1,2021
68,2021-02-07,0,0,0,2,2021
69,2021-02-14,0,29,0,2,2021
70,2021-02-21,0,0,0,2,2021
71,2021-02-28,0,0,0,2,2021
72,2021-03-07,28,0,0,3,2021
73,2021-03-14,0,0,0,3,2021
74,2021-03-21,0,0,0,3,2021
75,2021-03-28,0,0,0,3,2021
76,2021-04-04,0,0,0,4,2021
77,2021-04-11,0,0,0,4,2021
78,2021-04-18,0,0,0,4,2021
79,2021-04-25,0,0,0,4,2021
80,2021-05-02,0,0,0,5,2021
81,2021-05-09,0,0,0,5,2021
82,2021-05-16,0,26,0,5,2021
83,2021-05-23,42,26,0,5,2021
84,2021-05-30,23,0,0,5,2021
85,2021-06-06,42,0,0,6,2021
86,2021-06-13,24,0,0,6,2021
87,2021-06-20,44,0,0,6,2021
88,2021-06-27,47,25,0,6,2021
89,2021-07-04,56,26,0,7,2021
90,2021-07-11,83,48,0,7,2021
91,2021-07-18,58,0,0,7,2021
92,2021-07-25,62,0,0,7,2021
93,2021-08-01,99,0,0,8,2021
94,2021-08-08,82,0,46,8,2021
95,2021-08-15,65,0,0,8,2021
96,2021-08-22,51,0,0,8,2021
97,2021-08-29,40,0,0,8,2021
98,2021-09-05,30,0,0,9,2021
99,2021-09-12,33,0,0,9,2021
100,2021-09-19,46,0,0,9,2021
101,2021-09-26,42,0,0,9,2021
102,2021-10-03,0,0,0,10,2021
103,2021-10-10,50,32,0,10,2021
104,2021-10-17,48,35,29,10,2021
105,2021-10-24,75,42,35,10,2021
106,2021-10-31,49,49,0,10,2021
107,2021-11-07,43,0,0,11,2021
